x,truedata,truelower,trueupper,diff,max,entropy ,entropy attention
-24,2.99450549450549,2.88271,3.1063,3.00198152014652,2.97736444139194,2.46194862026862,2.97336149572649
-23,3.01800976800976,2.91034,3.12568,3.02966094322344,2.99899183455433,2.4708559065934,3.00488792735042
-22,3.16758241758241,3.04455,3.29062,3.0627888064713,3.02375606532356,2.48259065018315,3.03846647435897
-21,3.17536630036629,3.05022,3.30051,3.07641971306471,3.03482689865689,2.48759518315018,3.05528327838827
-20,3.16779609279609,3.06531,3.27028,3.13804073260073,3.08204677655677,2.50988311965811,3.12846208791208
-19,3.17002442002441,3.05814,3.28191,3.15229428876678,3.09335246947496,2.5152946001221,3.14701382783882
-18,3.22750305250305,3.10428,3.35073,3.19950544261294,3.12942165750915,2.53126913003663,3.20184322954822
-17,3.24059829059829,3.1233,3.3579,3.21093602564102,3.13885307692307,2.53651914529914,3.21769702991453
-16,3.22179487179487,3.11832,3.32527,3.22387102564102,3.14864145299145,2.54075521367521,3.23597525641025
-15,3.27612387612387,3.17901,3.37324,3.25377553724053,3.17105923354423,2.55260072788322,3.27680736901986
-14,3.26318126318126,3.16392,3.36244,3.27206718559218,3.18565764624264,2.5602594030969,3.3026382023532
-13,3.29633699633699,3.18662,3.40606,3.28571446886446,3.19571934065934,2.56579613553113,3.31975222527472
-12,3.36602564102564,3.25798,3.47407,3.30125076923076,3.20691999999999,2.57134262820512,3.34502935897435
-11,3.37420634920634,3.26881,3.4796,3.31322010989011,3.2158462026862,2.57674775641025,3.36223357753357
-10,3.37472527472527,3.27233,3.47712,3.32933642857142,3.2274044047619,2.58361394383394,3.39578134920634
-9,3.38724053724053,3.28398,3.4905,3.33593622710622,3.23219854090354,2.58565064102564,3.40709847985348
-8,3.38534798534798,3.2731,3.49759,3.34407219780219,3.23802012820512,2.58986897435897,3.42411552197802
-7,3.35201465201465,3.24183,3.4622,3.35195668498168,3.2441823076923,2.59262282051282,3.44167391941391
-6,3.32185592185592,3.20046,3.44325,3.36539533522033,3.25446014596514,2.5980186091686,3.46539042679542
-5,3.32395382395382,3.21255,3.43536,3.37013606948606,3.25811695249195,2.59996109168609,3.47361687201687
-4,3.33799533799533,3.22422,3.45177,3.37632997752247,3.26262143523143,2.602616008991,3.48696461954711
-3,3.34027639027639,3.22325,3.45731,3.3799870088245,3.26562397546897,2.60416692141192,3.49491922438672
-2,3.35789765789765,3.25401,3.46178,3.38261376262626,3.26779913364413,2.60526742229992,3.49868274836274
-1,3.37878617109386,3.27857,3.479,3.38166905940213,3.26744540273828,2.60515829806945,3.49583532014993
0,3.37549779280548,3.2687,3.48229,3.38453869726427,3.26945415065703,2.60639459677075,3.50197170792882
1,3.39493284493284,3.29873,3.49113,3.38467757159507,3.26984856809856,2.60645473554223,3.50308804140304
2,3.40285825285825,3.30249,3.50322,3.38298464618714,3.26913673826173,2.60607993367743,3.50020307636807
3,3.4040848040848,3.30219,3.50598,3.38178587856587,3.2683337029637,2.60566987900987,3.49798908646908
4,3.41016483516483,3.30852,3.51181,3.38164428571428,3.26832274725274,2.60615872710622,3.49878968864468
5,3.36288156288156,3.2626,3.46317,3.37856528083028,3.26694643467643,2.60584724442224,3.49756623404373
6,3.38943833943833,3.27998,3.4989,3.37486832112332,3.26383376068376,2.60445657509157,3.49043692002442
