participant_id,trial_number,distribution_type,first_option,second_option,chosen_type,ball_weight,action_selection_conf,success_prediction_conf,balls_in_box,trial_success,trial_reward,cumulative_reward,action_conf_selection_time,action_conf_confirmation_time,prediction_conf_selection_time,prediction_conf_confirmation_time
220,13,wide_high,wide_high,narrow_high,wide_high,0.2858423665601008,6.0,2.0,1.0,False,18.0,139.0,1.3840000629425049,2.0500001907348633,2.4700000286102295,3.188999891281128
220,14,wide_high,wide_high,narrow_high,wide_high,0.2648642739280061,6.0,4.0,1.0,False,18.0,157.0,1.50600004196167,2.241999864578247,2.5249998569488525,3.382999897003174
220,15,wide_low,wide_low,narrow_low,wide_low,0.1395675415780674,6.0,4.0,1.0,False,11.0,168.0,4.9079999923706055,5.64300012588501,1.9270002841949463,2.45300030708313
220,16,wide_high,wide_low,wide_high,wide_high,0.2724755497734668,6.0,3.0,1.0,False,18.0,186.0,1.4190001487731934,2.120000123977661,4.3470001220703125,5.187999963760376
220,17,narrow_high,narrow_high,wide_low,narrow_high,0.2657022741921171,6.0,3.0,1.0,False,14.0,200.0,1.7190001010894775,2.681999921798706,3.3999998569488525,4.293999671936035
220,18,wide_high,narrow_high,wide_high,wide_high,0.2467277497897187,6.0,3.0,1.0,False,18.0,218.0,1.436999797821045,2.1039998531341553,5.4679999351501465,6.256999969482422
220,19,wide_high,wide_low,wide_high,wide_high,0.3012563196273312,6.0,2.0,1.0,False,18.0,236.0,4.0320000648498535,4.715000152587891,1.7179996967315674,2.2950000762939453
220,20,narrow_high,narrow_high,wide_low,narrow_high,0.3129708248451802,6.0,2.0,0.0,False,0.0,236.0,1.506999969482422,2.2249999046325684,2.1029999256134033,3.0139997005462646
220,21,narrow_high,narrow_low,narrow_high,narrow_high,0.3271307762660708,6.0,3.0,0.0,False,0.0,236.0,1.3849997520446775,2.068999767303467,1.7890002727508545,2.506999969482422
220,22,wide_high,wide_high,narrow_low,wide_high,0.304416007203049,6.0,2.0,1.0,False,18.0,254.0,1.2269999980926514,1.875,1.3840000629425049,1.7869997024536133
220,23,wide_high,narrow_low,wide_high,wide_high,0.310172830179044,6.0,2.0,0.0,False,0.0,254.0,1.3839998245239258,4.06499981880188,2.5769999027252197,5.116999864578247
220,24,wide_low,wide_low,narrow_low,wide_low,0.1781410135462611,6.0,5.0,1.0,False,11.0,265.0,1.7009999752044678,2.489000082015991,3.2599997520446777,4.73199987411499
220,25,wide_low,narrow_low,wide_low,wide_low,0.349973756401444,6.0,5.0,0.0,False,0.0,265.0,1.2079999446868896,2.4880001544952393,1.9620001316070557,2.2950000762939453
220,26,wide_low,narrow_low,wide_low,wide_low,0.2841405202869209,6.0,4.0,1.0,False,11.0,276.0,1.8919999599456787,2.575999975204468,2.577000141143799,3.277000188827514
220,27,narrow_high,narrow_high,wide_low,narrow_high,0.2842700286754734,6.0,3.0,1.0,False,14.0,290.0,2.997999906539917,3.837999820709229,6.801000118255615,7.466000080108643
220,28,wide_high,narrow_low,wide_high,wide_high,0.3440130639256203,6.0,2.0,0.0,False,0.0,290.0,1.4890000820159912,2.1029999256134033,1.1570000648498535,1.910999774932861
220,29,wide_low,wide_low,narrow_low,wide_low,0.125636143488846,6.0,4.0,1.0,False,11.0,301.0,2.769000291824341,3.4700000286102295,1.2799999713897705,2.2249999046325684
220,30,wide_low,narrow_low,wide_low,wide_low,0.1354545094970621,6.0,4.0,1.0,False,11.0,312.0,2.368000030517578,4.15500020980835,1.7000000476837158,2.4179999828338623
220,31,wide_high,narrow_low,wide_high,wide_high,0.3896508783112908,6.0,2.0,0.0,False,0.0,312.0,1.559000015258789,2.259999990463257,1.454999923706055,2.294999837875366
220,32,wide_high,wide_high,wide_low,wide_high,0.2593167803378331,5.0,2.0,1.0,False,18.0,330.0,2.3489997386932373,3.714999914169311,1.9810001850128176,2.384000062942505
220,33,wide_low,wide_low,narrow_low,wide_low,0.3053956541254981,6.0,4.0,1.0,False,11.0,341.0,2.0339999198913574,2.875,1.0340001583099363,1.683000087738037
220,34,wide_high,narrow_high,wide_high,wide_high,0.3417315726866345,6.0,3.0,0.0,False,0.0,341.0,1.385000228881836,2.190000295639038,4.594000339508057,4.961000204086304
220,35,wide_high,wide_high,wide_low,wide_high,0.2158529333143158,6.0,2.0,1.0,False,18.0,359.0,1.386000156402588,2.629000186920166,0.9119999408721924,1.314000129699707
220,36,narrow_high,narrow_high,narrow_low,narrow_high,0.2903369455230128,6.0,3.0,1.0,False,14.0,373.0,2.5419998168945312,3.383000135421753,4.170000314712524,4.67900013923645
220,37,wide_low,wide_low,narrow_low,wide_low,0.3169512106844569,6.0,4.0,0.0,False,0.0,373.0,1.8220000267028809,4.135999917984009,1.928999900817871,2.435999870300293
220,38,wide_high,wide_high,wide_low,wide_high,0.2609551888649123,6.0,3.0,1.0,False,18.0,391.0,4.943000078201294,5.71399998664856,6.851999759674072,7.499999761581421
220,39,wide_high,wide_high,narrow_high,wide_high,0.1805601231790092,5.0,2.0,1.0,False,18.0,409.0,3.750999927520752,4.135999917984009,2.504999876022339,3.259000062942505
220,40,narrow_high,wide_low,narrow_high,narrow_high,0.3361943466391371,6.0,2.0,0.0,False,0.0,409.0,1.8229997158050537,2.873999834060669,1.244999885559082,1.55899977684021
220,41,narrow_high,narrow_high,narrow_low,narrow_high,0.2744516028957366,5.0,3.0,1.0,False,14.0,423.0,2.051999807357788,2.804999828338623,1.9279999732971191,2.575999975204468
220,42,wide_high,wide_high,wide_low,wide_high,0.2110320600217546,6.0,3.0,1.0,False,18.0,441.0,1.437000036239624,2.4890003204345703,1.069000005722046,1.5240001678466797
220,43,wide_high,narrow_low,wide_high,wide_high,0.2798962697622231,6.0,2.0,1.0,False,18.0,459.0,1.7000000476837158,2.504999876022339,1.7000000476837158,2.365000009536743
